日期,城市,租用中用户数,渠道在租用户数,直客在租用户数,企业包在租用户数,寄存用户数,新增用户数,新增渠道用户数,新增直客用户数,新增企业包用户数,退租用户数,渠道退租用户数,直客退租用户数,企业包退租用户数,,,
2026-01-30,青岛市,478,449,25,4,44,3,3,0,0,9,9,0,0,,,
2026-01-31,上海市,3,0,3,0,2,0,0,0,0,0,0,0,0,,,
2026-01-31,南京市,5017,1530,1945,1542,254,20,10,7,3,64,17,21,26,,,
2026-01-31,南通市,810,274,462,74,59,2,2,0,0,9,3,6,0,,,
2026-01-31,台州市,172,45,33,94,4,1,0,1,0,4,1,0,3,,,
2026-01-31,合肥市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-31,宁波市,3685,1514,1608,563,261,16,9,3,4,56,26,17,13,,,
2026-01-31,常州市,2136,730,1112,294,152,7,1,4,2,30,10,10,10,,,
2026-01-31,徐州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-31,无锡市,837,396,404,37,106,14,10,4,0,16,8,8,0,,,
2026-01-31,杭州市,25,21,4,0,0,2,2,0,0,0,0,0,0,,,
2026-01-31,武汉市,2291,1356,907,28,204,15,14,1,0,32,29,3,0,,,
2026-01-31,温州市,1361,670,283,408,77,21,13,0,8,24,12,6,6,,,
2026-01-31,芜湖市,396,105,290,1,27,0,0,0,0,3,0,3,0,,,
2026-01-31,苏州市,7926,1877,4566,1483,622,27,23,4,0,111,38,40,33,,,
2026-01-31,鄂州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-31,金华市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-31,青岛市,471,443,24,4,39,6,6,0,0,16,16,0,0,,,
2026-02-01,上海市,3,0,3,0,2,0,0,0,0,0,0,0,0,,,
2026-02-01,南京市,4958,1520,1928,1510,291,12,6,3,3,83,20,18,45,,,
2026-02-01,南通市,807,275,456,76,69,5,3,1,1,8,4,4,0,,,
2026-02-01,台州市,169,45,33,91,4,1,1,0,0,5,3,0,2,,,
2026-02-01,合肥市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-01,宁波市,3638,1497,1586,555,283,18,12,2,4,83,30,34,19,,,
2026-02-01,常州市,2113,722,1102,289,170,8,7,0,1,31,13,12,6,,,
2026-02-01,徐州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-01,无锡市,822,390,399,33,121,2,2,0,0,21,11,8,2,,,
2026-02-01,杭州市,27,22,5,0,0,2,1,1,0,0,0,0,0,,,
2026-02-01,武汉市,2276,1343,905,28,214,14,12,2,0,28,21,6,1,,,
2026-02-01,温州市,1347,671,281,395,82,18,14,1,3,42,21,6,15,,,
2026-02-01,芜湖市,392,106,285,1,28,1,1,0,0,5,0,5,0,,,
2026-02-01,苏州市,7861,1880,4535,1446,674,42,28,13,1,129,31,54,44,,,
2026-02-01,鄂州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-01,金华市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-01,青岛市,466,437,24,5,42,2,2,0,0,8,8,0,0,,,
